Mortal Kombat 3,PS,1995,Fighting,0.29,0.2,0.02,0.04,0.55,N/A
Virtua Fighter 2,SAT,1995,Fighting,0.34,0.26,1.3,0.03,1.93,N/A
NFL GameDay,PS,1995,Sports,0.47,0.32,0,0.06,0.85,N/A
Gex,PS,1995,Platform,0.49,0.33,0,0.06,0.87,N/A
Destruction Derby,PS,1995,Racing,0.5,0.34,0,0.06,0.9,N/A
Road & Track Presents: The Need for Speed,PS,1995,Racing,0.56,0.38,0,0.07,1,N/A
Kirby's Dream Land 2,GB,1995,Platform,0.69,0.14,1.48,0.05,2.36,N/A
Road Rash,PS,1995,Racing,0.71,0.48,0,0.08,1.27,N/A
NBA Jam Tournament Edition,SNES,1995,Sports,0.87,0.12,0,0.02,1.01,N/A
Air Combat,PS,1995,Simulation,0.92,0.33,0.52,0.05,1.83,N/A
Tekken,PS,1995,Fighting,0.95,1.3,0.77,0.22,3.24,N/A
Twisted Metal,PS,1995,Action,1.32,0.19,0,0.05,1.56,N/A
Rayman,PS,1995,Platform,1.54,1.33,0,0.16,3.03,N/A
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,1.65,0.61,1.76,0.09,4.12,N/A
Warcraft II: Tides of Darkness,PC,1995,Strategy,1.7,2.27,0,0.23,4.21,N/A
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,2.1,0.74,2.2,0.11,5.15,N/A
Namco Museum Vol.1,PS,1995,Misc,2.12,1.44,0.22,0.06,3.84,N/A
Killer Instinct,SNES,1995,Fighting,2.26,0.72,0.12,0.1,3.2,N/A
Arc the Lad II,PS,1996,Role-Playing,0,0,0.92,0.13,1.05,N/A
Art of Fighting 3: The Path of the Warrior,NG,1996,Fighting,0,0,0.04,0,0.04,N/A
Bahamut Lagoon,SNES,1996,Role-Playing,0,0,0.62,0,0.62,N/A
Bastard!! Utsuro Naru Kamigami no Utsuwa,PS,1996,Role-Playing,0,0,0.2,0.01,0.21,N/A
Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,SAT,1996,Misc,0,0,0.03,0,0.03,N/A
Blue Breaker: Ken Yorimo Hohoemi o,PCFX,1996,Role-Playing,0,0,0.03,0,0.03,N/A
Bomberman B-Daman,SNES,1996,Shooter,0,0,0.17,0,0.17,N/A
Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996,Sports,0,0,0.19,0,0.19,N/A
Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996,Sports,0,0,0.22,0,0.22,N/A
Dai-4-Ji Super Robot Taisen S,PS,1996,Strategy,0,0,0.48,0.03,0.51,N/A
Daikaijyuu Monogatari II,SNES,1996,Role-Playing,0,0,0.12,0,0.12,N/A
Dark Half,SNES,1996,Role-Playing,0,0,0.04,0,0.04,N/A
Derby Stallion 96,SNES,1996,Sports,0,0,1.04,0.01,1.05,N/A
Doukyuusei if,SAT,1996,Role-Playing,0,0,0.26,0,0.26,N/A
Dragon Ball Z: Idainaru Dragon Ball Densetsu,PS,1996,Fighting,0,0,0.18,0.01,0.19,N/A
Dragon Force,SAT,1996,Strategy,0,0,0.3,0,0.3,N/A
Dragon Quest III: Soshite Densetsu e...,SNES,1996,Role-Playing,0,0,1.36,0,1.36,N/A
DX Game of Life,PS,1996,Misc,0,0,0.27,0.02,0.29,N/A
E0: Enemy Zero,SAT,1996,Adventure,0,0,0.41,0,0.41,N/A
Fighters MEGAMiX,SAT,1996,Fighting,0,0,0.62,0,0.62,N/A
Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,0,0,0.58,0,0.58,N/A
Fire ProWrestling S: 6Men Scramble,SAT,1996,Fighting,0,0,0.12,0,0.12,N/A
Front Mission: Gun Hazard,SNES,1996,Role-Playing,0,0,0.24,0,0.24,N/A
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,GB,1996,Role-Playing,0,0,0.27,0,0.27,N/A
Garou Densetsu 3: Road to the Final Victory,SAT,1996,Fighting,0,0,0.05,0,0.05,N/A
